id,family,surface,renderer,desktop,mobile,fit,source_rule,proposed_slot,source,css_or_contract,verification,proposed_source_role
I01,셀럽 프로필,홈 셀럽 목록,CreatorPortrait → CreatorImage(portrait),"정사각형; 내부 min(84%,240px)",정사각형; 내부 인셋,cover + 셀럽별 위치/배율,CMS 프로필; 일부 예외; preview 있으면 영상으로 대체,identity.square,apps/web/components/guest-home.tsx:318,apps/web/components/fan-ui/creator-portrait.module.css:2,코드,creator.profile
I02,셀럽 프로필,/celebrities 디렉터리,CreatorPortrait(full-bleed),1:1; 최대 약438 CSS px,1:1; 1열,cover,CMS + 공통 resolver,identity.square,apps/web/components/celebrity-directory.tsx:133,apps/web/components/celebrity-directory.module.css:18,코드,creator.profile
I03,셀럽 아바타,홈 LIVE 행,CreatorAvatar,64×64 원형,56×56 원형,cover + avatar crop,축약 LIVE projection + resolver,identity.avatar,apps/web/components/guest-home.tsx:367,apps/web/components/fan-ui/creator-avatar.module.css:1,코드,creator.profile
I04,셀럽 아바타,LIVE 목록 / 상세 / 프로필 온보딩,CreatorAvatar,64 / 64 / 56px 원형,52 / 56 / 48px 원형,cover + avatar crop,각 projection; 위치 전달 여부 다름,identity.avatar,apps/web/features/live/ui/live-catalog-screen.tsx:144,apps/web/components/fan-ui/creator-avatar.tsx:10,코드,creator.profile
I05,셀럽 배너,/c/[slug] 팬페이지,CreatorHeroPicture,전체 높이360; 오른쪽69%가 사진; 실측937×358,전체 높이470; 실측356×468,cover; Aryeom PC contain 예외,전용 hero registry; Park/Jenny 새 CMS 우선; KATSEYE 전용,identity.hero.desktop/mobile,apps/web/components/celebrity-fan-page.tsx:68,apps/web/features/fanpage/ui/fanpage.module.css:9,코드 + 이퓨/제니 실측,PC:creator.landscape / mobile:creator.portrait
I06,셀럽 프로필,MY 셀럽 선택,"CreatorImage(portrait,framed)",48px 프레임,작은 화면40px 힌트,cover,MY projection; imagePosition 없음,identity.square.small,apps/web/features/my/ui/my-screen.tsx:189,apps/web/features/my/domain/my-summary.ts:19,코드; 인증 화면 미렌더,creator.profile
I07,셀럽 카드,/passports 소장 목록,CreatorImage(collection),≥1024:16:9,<1024:16:11,cover,소장 Passport projection,identity.collection.desktop/mobile,apps/web/features/passport/ui/passport-screens.tsx:152,apps/web/features/passport/ui/passport-screens.module.css:1092,코드; 인증 화면 미렌더,creator.landscape
I08,셀럽 합성 사진,홈 Passport 아트,PassportIdentityArtwork,Passport 내 사진 창440:354; sizes96px,같은 아트 축소,cover,CreatorImage(passport) + Passport 장식,identity.passport,apps/web/features/passport/ui/passport-identity-artwork.tsx:14,apps/web/features/passport/ui/passport-identity-artwork.module.css:17,코드; 인증 화면 미렌더,creator.profile
I09,셀럽 세로 사진,LIVE 캘린더 이벤트,CreatorImage(vertical) + Avatar,"≥1024:폭 clamp(48px,5vw,72px), 높이96",세로 사진 숨김;24px 아바타,cover,캘린더 projection; 위치 전달 없음,identity.vertical + identity.avatar,apps/web/features/live/ui/live-calendar-screen.tsx:326,apps/web/features/live/ui/live-calendar-screen.module.css:264,코드,creator.portrait
I10,셀럽 세로 사진,캘린더 모달,CreatorImage(vertical),72×96,72×96 계약,cover,이벤트 셀럽 사진,identity.vertical,apps/web/features/live/ui/live-calendar-screen.tsx:326,apps/web/features/live/ui/live-calendar-screen.module.css:301,코드,creator.portrait
